K,minRSS,AICminRSSk
10,1695476.8286442771,1697476.8286442771
20,1650889.3280307187,1654889.3280307187
30,1625867.2398063706,1631867.2398063706
40,1612007.0884886303,1620007.0884886303
50,1594107.067479643,1604107.067479643
60,1586205.4959096762,1598205.4959096762
70,1576968.494643423,1590968.494643423
80,1568629.1480877015,1584629.1480877015
90,1556142.9540450473,1574142.9540450473
100,1550080.5104165231,1570080.5104165231
110,1548708.1800404291,1570708.1800404291
120,1539622.9291796193,1563622.9291796193
130,1531226.1222096549,1557226.1222096549
140,1524631.9037567871,1552631.9037567871
150,1524560.6657967905,1554560.6657967905
160,1521915.9671040175,1553915.9671040175
170,1511034.5330675752,1545034.5330675752
180,1510086.0125572754,1546086.0125572754
190,1505928.383833607,1543928.383833607
