K,minRSS,AICminRSSk,purity
1,1843679.6484122125,1843879.6484122125,0.54208319896807478
2,1808950.7047090656,1809350.7047090656,0.54208319896807478
3,1782526.7312869839,1783126.7312869839,0.54208319896807478
4,1760898.3287805023,1761698.3287805023,0.54208319896807478
5,1744212.6864067968,1745212.6864067968,0.54208319896807478
6,1728425.5316364702,1729625.5316364702,0.54208319896807478
7,1716499.3317930005,1717899.3317930005,0.54208319896807478
8,1704644.6953103223,1706244.6953103223,0.54208319896807478
9,1698193.2393491645,1699993.2393491645,0.54208319896807478
10,1690347.3011697824,1692347.3011697824,0.55874449102440071
11,1689795.1903022772,1691995.1903022772,0.54208319896807478
12,1679597.6063845251,1681997.6063845251,0.54213694507148236
13,1672237.5143114103,1674837.5143114103,0.55648715468128562
14,1670251.9773680845,1673051.9773680845,0.55643340857787815
15,1664520.6455015256,1667520.6455015256,0.55664839299150815
16,1665699.8395780462,1668899.8395780462,0.57250349349672147
17,1654695.4230406673,1658095.4230406673,0.57148231753197898
18,1652930.9471396825,1656530.9471396825,0.55589594754380312
19,1657224.2571155743,1661024.2571155743,0.55654090078469309
20,1650108.5274015979,1654108.5274015979,0.5422444372782973
21,1646849.7384006211,1651049.7384006211,0.57008491884338386
22,1640267.573903536,1644667.573903536,0.55594969364721059
23,1638701.7006763103,1643301.7006763103,0.55444480275180053
24,1638191.1249893582,1642991.1249893582,0.55627217026765563
25,1639618.8286988682,1644618.8286988682,0.57760937332043427
26,1632168.899214936,1637368.899214936,0.56906374287864125
27,1634772.3901763435,1640172.3901763435,0.56981618832634628
28,1624703.2762916726,1630303.2762916726,0.57234225518649895
29,1630064.7544479067,1635864.7544479067,0.56900999677523378
30,1629186.7923472137,1635186.7923472137,0.5553047404063205
31,1618641.9752507603,1624841.9752507603,0.55664839299150815
32,1625254.1036872226,1631654.1036872226,0.55820702999032568
33,1623780.0177476529,1630380.0177476529,0.56137805009136843
34,1613184.3169442685,1619984.3169442685,0.56691389874234122
35,1613112.6044739527,1620112.6044739527,0.56890250456841884
36,1614912.3983743945,1622112.3983743945,0.56514027732989358
37,1615592.1074752717,1622992.1074752717,0.55922820595506828
39,1609134.0769644002,1616934.0769644002,0.56900999677523378
38,1610912.2060057628,1618512.2060057628,0.55944319036869827
40,1606344.0215317027,1614344.0215317027,0.55766956895625064
41,1609355.4015668421,1617555.4015668421,0.55955068257551333
42,1603730.849660438,1612130.849660438,0.56497903901967106
43,1604183.87451792,1612783.87451792,0.56454907019241107
44,1604926.9979813523,1613726.9979813523,0.56051811243684835
45,1598173.0797485339,1607173.0797485339,0.56723637536278615
46,1604143.1612470283,1613343.1612470283,0.56680640653552616
47,1602398.1745543675,1611798.1745543675,0.56686015263893363
48,1597819.0562040037,1607419.0562040037,0.56879501236160379
49,1597219.1168306174,1607019.1168306174,0.57266473180694399
50,1591285.1401489952,1601285.1401489952,0.57035364936042132
51,1594946.3801069064,1605146.3801069064,0.56777383639686119
52,1592685.4889036273,1603085.4889036273,0.57422336880576164
53,1593494.9217620767,1604094.9217620767,0.56879501236160379
54,1591976.0835371704,1602776.0835371704,0.56718262925937868
55,1592155.1334786227,1603155.1334786227,0.57906051811243686
56,1584688.2518775184,1595888.2518775184,0.56729012146619373
57,1587906.2235332851,1599306.2235332851,0.57277222401375905
58,1586903.8002052349,1598503.8002052349,0.57239600128990653
59,1583132.6101433318,1594932.6101433318,0.57126733311834887
60,1579093.3810069906,1591093.3810069906,0.57282597011716652
61,1574718.2340861713,1586918.2340861713,0.56868752015478874
62,1582798.8219141709,1595198.8219141709,0.56422659357196603
63,1585047.840022092,1597647.840022092,0.56336665591744595
64,1579211.305337887,1592011.305337887,0.57180479415242391
65,1576043.5422480968,1589043.5422480968,0.57336343115124155
66,1578468.4515637329,1591668.4515637329,0.57115984091153393
67,1576162.6346729982,1589562.6346729982,0.57287971622057399
68,1575958.8238312327,1589558.8238312327,0.57524454477050413
69,1568809.23232875,1582609.23232875,0.56643018381167365
70,1578549.8861735272,1592549.8861735272,0.56363538643448352
71,1571403.8484939267,1585603.8484939267,0.57137482532516393
72,1574427.3660377746,1588827.3660377746,0.57309470063420398
73,1573585.0233569324,1588185.0233569324,0.58293023755777706
75,1569868.5321484075,1584868.5321484075,0.57986670966354936
74,1568307.7209521479,1583107.7209521479,0.56680640653552616
76,1567730.4802079524,1582930.4802079524,0.56680640653552616
77,1568152.9740017706,1583552.9740017706,0.57094485649790394
78,1567651.3326486279,1583251.3326486279,0.57486832204665161
79,1565759.1937644852,1581559.1937644852,0.57422336880576164
80,1563959.4188578215,1579959.4188578215,0.56976244222293881
81,1566853.0461606856,1583053.0461606856,0.57105234870471888
82,1561462.1544513181,1577862.1544513181,0.57476082983983656
83,1564436.5329852663,1581036.5329852663,0.57540578308072665
84,1560684.0345920559,1577484.0345920559,0.57605073632161663
85,1563313.7285489247,1580313.7285489247,0.57519079866709666
86,1564629.0146233866,1581829.0146233866,0.5712135870149414
87,1560475.5562223794,1577875.5562223794,0.57502956035687414
88,1559789.535142631,1577389.535142631,0.5808341395248845
89,1557937.2180872587,1575737.2180872587,0.5804041706976244
90,1560646.5422365756,1578646.5422365756,0.57728689669998923
91,1558675.1703409215,1576875.1703409215,0.58303772976459212
92,1556329.3895993049,1574729.3895993049,0.57373965387509407
93,1553209.5395415304,1571809.5395415304,0.56933247339567883
94,1556913.7070412003,1575713.7070412003,0.57438460711598405
95,1555503.1977067033,1574503.1977067033,0.58008169407717936
96,1552048.7968931827,1571248.7968931827,0.58035042459421693
97,1553600.7805129117,1573000.7805129117,0.57271847791035146
98,1554859.8577071577,1574459.8577071577,0.57642695904546926
99,1552579.8646265788,1572379.8646265788,0.58056540900784692
100,1547434.0238448253,1567434.0238448253,0.57470708373642909
102,1551164.7007556357,1571564.7007556357,0.57476082983983656
101,1550352.5882769614,1570552.5882769614,0.5653015156401161
104,1552256.6743694749,1573056.6743694749,0.57562076749435664
103,1548886.6702492256,1569486.6702492256,0.57750188111361922
106,1547971.4470974607,1569171.4470974607,0.57115984091153393
105,1545287.8965943595,1566287.8965943595,0.57669568956250672
107,1544994.897879669,1566394.897879669,0.58282274535096201
108,1549083.4418988738,1570683.4418988738,0.58018918628399441
109,1548600.9388196529,1570400.9388196529,0.58174782328281205
110,1543838.0153557337,1565838.0153557337,0.58287649145436959
111,1546918.6153973271,1569118.6153973271,0.57938299473288191
112,1540576.5324770978,1562976.5324770978,0.58217779211007203
113,1544236.8638539892,1566836.8638539892,0.57481457594324414
114,1543622.2031146083,1566422.2031146083,0.56997742663656881
116,1541187.5953010737,1564387.5953010737,0.5824465226271095
115,1540103.2967820433,1563103.2967820433,0.57814683435450931
117,1542528.8852090964,1565928.8852090964,0.58174782328281205
118,1535468.7485953099,1559068.7485953099,0.58636998817585728
119,1539515.5449519963,1563315.5449519963,0.57277222401375905
120,1538708.6323150855,1562708.6323150855,0.58368268300548209
121,1537169.4937967162,1561369.4937967162,0.57422336880576164
122,1532941.3995581621,1557341.3995581621,0.58147909276577447
123,1535152.6392536624,1559752.6392536624,0.5834676985918521
124,1536778.9017739105,1561578.9017739105,0.58250026873051708
125,1537489.7510380927,1562489.7510380927,0.57771686552724932
126,1533232.2119567827,1558432.2119567827,0.58061915511125439
127,1532158.9816815865,1557558.9816815865,0.58851983231215732
128,1533199.1295754956,1558799.1295754956,0.5824465226271095
129,1533353.4562623075,1559153.4562623075,0.58228528431688698
130,1535681.3498031946,1561681.3498031946,0.57986670966354936
131,1530388.8199996704,1556588.8199996704,0.57787810383747173
132,1530338.8387216127,1556738.8387216127,0.58008169407717936
133,1528071.0996851586,1554671.0996851586,0.58051166290443945
134,1529593.103086937,1556393.103086937,0.57648070514887673
135,1531464.4715076429,1558464.4715076429,0.57691067397613671
136,1531949.3257106573,1559149.3257106573,0.58808986348489733
137,1524700.6125935249,1552100.6125935249,0.58357519079866704
138,1529427.2329143465,1557027.2329143465,0.58620874986563476
139,1526553.4421902336,1554353.4421902336,0.57750188111361922
140,1532868.562191159,1560868.562191159,0.581425346662367
141,1526994.2147556385,1555194.2147556385,0.58443512845318712
142,1524941.9277717446,1553341.9277717446,0.5926582822745351
143,1522301.0052765992,1550901.0052765992,0.58540255831452215
144,1529064.9053379032,1557864.9053379032,0.57900677200902939
145,1518128.2774563257,1547128.2774563257,0.58486509728044722
147,1526598.1516462686,1555998.1516462686,0.58438138234977965
146,1525362.3082029633,1554562.3082029633,0.59072342255186494
148,1521572.3436177208,1551172.3436177208,0.57852305707836182
149,1521949.807808653,1551749.807808653,0.58459636676340965
150,1524476.8178553919,1554476.8178553919,0.58508008169407721
151,1522147.9693869522,1552347.9693869522,0.58104912393851449
152,1522419.8161814376,1552819.8161814376,0.58572503493496719
153,1517814.1846133769,1548414.1846133769,0.58921853165645488
154,1523133.2237224376,1553933.2237224376,0.58792862517467481
155,1521722.1522110039,1552722.1522110039,0.58465011286681712
